"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,,
"January 1976 to date, seasonally adjusted",,,,,,,,,,
,,,,,,,,,,
FIPS Code,State and area,Period,,Civilian non-institutional population,Civilian labor force,,,,,
1,Alabama,1978,9,"2,756,000","1,632,310",59.2,"1,526,379",55.4,"105,931",6.5
2,Alaska,1978,9,"256,000","182,680",71.4,"163,653",63.9,"19,027",10.4
4,Arizona,1978,9,"1,827,000","1,097,675",60.1,"1,035,679",56.7,"61,996",5.6
5,Arkansas,1978,9,"1,623,000","953,834",58.8,"893,907",55.1,"59,927",6.3
6,California,1978,9,"16,861,000","11,009,558",65.3,"10,251,598",60.8,"757,960",6.9
37,Los Angeles County,1978,9,"5,504,000","3,635,734",66.1,"3,404,068",61.8,"231,666",6.4
8,Colorado,1978,9,"2,010,000","1,367,630",68,"1,297,179",64.5,"70,451",5.2
9,Connecticut,1978,9,"2,318,000","1,519,152",65.5,"1,441,542",62.2,"77,610",5.1
10,Delaware,1978,9,"436,000","279,137",64,"259,488",59.5,"19,649",7
11,District of Columbia,1978,9,"508,000","332,803",65.5,"307,494",60.5,"25,309",7.6
12,Florida,1978,9,"7,027,000","4,018,127",57.2,"3,752,166",53.4,"265,961",6.6
13,Georgia,1978,9,"3,751,000","2,431,556",64.8,"2,290,280",61.1,"141,276",5.8
15,Hawaii,1978,9,"628,000","424,374",67.6,"394,881",62.9,"29,493",6.9
16,Idaho,1978,9,"636,000","417,752",65.7,"393,865",61.9,"23,887",5.7
17,Illinois,1978,9,"8,381,000","5,445,023",65,"5,129,818",61.2,"315,205",5.8
18,Indiana,1978,9,"3,941,000","2,609,501",66.2,"2,467,861",62.6,"141,640",5.4
19,Iowa,1978,9,"2,133,000","1,424,452",66.8,"1,371,281",64.3,"53,171",3.7
20,Kansas,1978,9,"1,703,000","1,140,572",67,"1,107,698",65,"32,874",2.9
21,Kentucky,1978,9,"2,590,000","1,583,317",61.1,"1,502,340",58,"80,977",5.1
22,Louisiana,1978,9,"2,850,000","1,671,321",58.6,"1,565,441",54.9,"105,880",6.3
23,Maine,1978,9,"808,000","489,497",60.6,"458,798",56.8,"30,699",6.3
24,Maryland,1978,9,"3,086,000","2,065,506",66.9,"1,951,529",63.2,"113,977",5.5
25,Massachusetts,1978,9,"4,306,000","2,821,024",65.5,"2,653,044",61.6,"167,980",6
26,Michigan,1978,9,"6,653,000","4,244,193",63.8,"3,945,581",59.3,"298,612",7
27,Minnesota,1978,9,"2,917,000","1,991,685",68.3,"1,915,246",65.7,"76,439",3.8
28,Mississippi,1978,9,"1,728,000","1,013,314",58.6,"946,723",54.8,"66,591",6.6
29,Missouri,1978,9,"3,591,000","2,268,913",63.2,"2,165,105",60.3,"103,808",4.6
30,Montana,1978,9,"567,000","367,703",64.9,"348,287",61.4,"19,416",5.3
31,Nebraska,1978,9,"1,130,000","751,831",66.5,"732,488",64.8,"19,343",2.6
32,Nevada,1978,9,"537,000","379,085",70.6,"362,483",67.5,"16,602",4.4
33,New Hampshire,1978,9,"652,000","439,866",67.5,"424,093",65,"15,773",3.6
34,New Jersey,1978,9,"5,511,000","3,495,547",63.4,"3,249,156",59,"246,391",7
35,New Mexico,1978,9,"872,000","536,376",61.5,"503,145",57.7,"33,231",6.2
36,New York,1978,9,"13,255,000","7,887,005",59.5,"7,294,101",55,"592,904",7.5
51000,New York city,1978,9,"5,551,000","3,061,553",55.2,"2,794,154",50.3,"267,399",8.7
37,North Carolina,1978,9,"4,131,000","2,777,987",67.2,"2,656,190",64.3,"121,797",4.4
38,North Dakota,1978,9,"460,000","296,262",64.4,"283,991",61.7,"12,271",4.1
39,Ohio,1978,9,"7,906,000","4,999,535",63.2,"4,728,178",59.8,"271,357",5.4
40,Oklahoma,1978,9,"2,122,000","1,270,422",59.9,"1,232,472",58.1,"37,950",3
41,Oregon,1978,9,"1,875,000","1,222,567",65.2,"1,143,984",61,"78,583",6.4
42,Pennsylvania,1978,9,"8,951,000","5,329,373",59.5,"4,963,861",55.5,"365,512",6.9
44,Rhode Island,1978,9,"716,000","451,475",63.1,"423,966",59.2,"27,509",6.1
45,South Carolina,1978,9,"2,129,000","1,364,123",64.1,"1,288,631",60.5,"75,492",5.5
46,South Dakota,1978,9,"491,000","324,469",66.1,"313,748",63.9,"10,721",3.3
47,Tennessee,1978,9,"3,268,000","1,989,880",60.9,"1,872,256",57.3,"117,624",5.9
48,Texas,1978,9,"9,599,000","6,281,470",65.4,"5,976,921",62.3,"304,549",4.8
49,Utah,1978,9,"903,000","575,128",63.7,"554,623",61.4,"20,505",3.6
50,Vermont,1978,9,"362,000","239,685",66.2,"226,711",62.6,"12,974",5.4
51,Virginia,1978,9,"3,773,000","2,501,660",66.3,"2,371,352",62.9,"130,308",5.2
53,Washington,1978,9,"2,846,000","1,834,073",64.4,"1,708,120",60,"125,953",6.9
54,West Virginia,1978,9,"1,416,000","741,229",52.3,"693,940",49,"47,289",6.4
55,Wisconsin,1978,9,"3,376,000","2,270,955",67.3,"2,158,835",63.9,"112,120",4.9
56,Wyoming,1978,9,"308,000","213,317",69.3,"206,897",67.2,"6,420",3
1,Alabama,1978,10,"2,760,000","1,636,636",59.3,"1,528,574",55.4,"108,062",6.6
2,Alaska,1978,10,"256,000","183,262",71.6,"164,489",64.3,"18,773",10.2
4,Arizona,1978,10,"1,836,000","1,106,431",60.3,"1,042,817",56.8,"63,614",5.7
5,Arkansas,1978,10,"1,626,000","956,204",58.8,"895,425",55.1,"60,779",6.4
6,California,1978,10,"16,897,000","11,041,537",65.3,"10,292,800",60.9,"748,737",6.8
37,Los Angeles County,1978,10,"5,509,000","3,650,048",66.3,"3,422,193",62.1,"227,855",6.2
8,Colorado,1978,10,"2,017,000","1,374,559",68.1,"1,305,034",64.7,"69,525",5.1
9,Connecticut,1978,10,"2,320,000","1,525,728",65.8,"1,447,893",62.4,"77,835",5.1
10,Delaware,1978,10,"436,000","279,467",64.1,"259,834",59.6,"19,633",7
11,District of Columbia,1978,10,"507,000","332,983",65.7,"307,732",60.7,"25,251",7.6
12,Florida,1978,10,"7,053,000","4,035,724",57.2,"3,769,685",53.4,"266,039",6.6
13,Georgia,1978,10,"3,759,000","2,437,277",64.8,"2,296,302",61.1,"140,975",5.8
15,Hawaii,1978,10,"629,000","424,897",67.6,"395,954",62.9,"28,943",6.8
16,Idaho,1978,10,"637,000","418,451",65.7,"394,054",61.9,"24,397",5.8
17,Illinois,1978,10,"8,385,000","5,450,232",65,"5,138,764",61.3,"311,468",5.7
18,Indiana,1978,10,"3,945,000","2,614,460",66.3,"2,471,552",62.7,"142,908",5.5
19,Iowa,1978,10,"2,134,000","1,421,685",66.6,"1,367,197",64.1,"54,488",3.8
20,Kansas,1978,10,"1,704,000","1,144,015",67.1,"1,110,529",65.2,"33,486",2.9
21,Kentucky,1978,10,"2,593,000","1,584,730",61.1,"1,503,067",58,"81,663",5.2
22,Louisiana,1978,10,"2,855,000","1,673,479",58.6,"1,570,217",55,"103,262",6.2
23,Maine,1978,10,"809,000","491,066",60.7,"460,121",56.9,"30,945",6.3
24,Maryland,1978,10,"3,089,000","2,071,376",67.1,"1,955,845",63.3,"115,531",5.6
25,Massachusetts,1978,10,"4,310,000","2,826,542",65.6,"2,658,998",61.7,"167,544",5.9
26,Michigan,1978,10,"6,660,000","4,258,962",63.9,"3,957,486",59.4,"301,476",7.1
27,Minnesota,1978,10,"2,921,000","1,998,037",68.4,"1,921,336",65.8,"76,701",3.8
28,Mississippi,1978,10,"1,730,000","1,013,860",58.6,"948,615",54.8,"65,245",6.4
29,Missouri,1978,10,"3,594,000","2,273,551",63.3,"2,171,823",60.4,"101,728",4.5
30,Montana,1978,10,"568,000","367,568",64.7,"348,324",61.3,"19,244",5.2
31,Nebraska,1978,10,"1,130,000","752,699",66.6,"733,423",64.9,"19,276",2.6
32,Nevada,1978,10,"540,000","381,532",70.7,"364,517",67.5,"17,015",4.5
33,New Hampshire,1978,10,"654,000","441,575",67.5,"426,165",65.2,"15,410",3.5
34,New Jersey,1978,10,"5,515,000","3,508,164",63.6,"3,262,222",59.2,"245,942",7
35,New Mexico,1978,10,"875,000","537,946",61.5,"504,344",57.6,"33,602",6.2
36,New York,1978,10,"13,258,000","7,907,987",59.6,"7,321,205",55.2,"586,782",7.4
51000,New York city,1978,10,"5,548,000","3,062,997",55.2,"2,796,795",50.4,"266,202",8.7
37,North Carolina,1978,10,"4,137,000","2,781,335",67.2,"2,659,445",64.3,"121,890",4.4
38,North Dakota,1978,10,"460,000","296,823",64.5,"284,368",61.8,"12,455",4.2
39,Ohio,1978,10,"7,911,000","5,016,924",63.4,"4,742,263",59.9,"274,661",5.5
40,Oklahoma,1978,10,"2,126,000","1,274,514",59.9,"1,235,571",58.1,"38,943",3.1
41,Oregon,1978,10,"1,880,000","1,225,137",65.2,"1,143,899",60.8,"81,238",6.6
42,Pennsylvania,1978,10,"8,957,000","5,339,517",59.6,"4,972,244",55.5,"367,273",6.9
44,Rhode Island,1978,10,"716,000","452,708",63.2,"425,109",59.4,"27,599",6.1
45,South Carolina,1978,10,"2,133,000","1,364,354",64,"1,290,496",60.5,"73,858",5.4
46,South Dakota,1978,10,"491,000","324,928",66.2,"314,246",64,"10,682",3.3
47,Tennessee,1978,10,"3,275,000","1,993,891",60.9,"1,876,269",57.3,"117,622",5.9
48,Texas,1978,10,"9,627,000","6,304,655",65.5,"6,000,860",62.3,"303,795",4.8
49,Utah,1978,10,"906,000","578,972",63.9,"557,995",61.6,"20,977",3.6
50,Vermont,1978,10,"362,000","240,485",66.4,"227,504",62.8,"12,981",5.4
51,Virginia,1978,10,"3,779,000","2,505,259",66.3,"2,374,465",62.8,"130,794",5.2
53,Washington,1978,10,"2,856,000","1,842,516",64.5,"1,714,933",60,"127,583",6.9
54,West Virginia,1978,10,"1,418,000","743,844",52.5,"695,453",49,"48,391",6.5
55,Wisconsin,1978,10,"3,381,000","2,277,813",67.4,"2,164,552",64,"113,261",5
56,Wyoming,1978,10,"309,000","214,453",69.4,"208,150",67.4,"6,303",2.9
1,Alabama,1978,11,"2,764,000","1,640,650",59.4,"1,530,696",55.4,"109,954",6.7
2,Alaska,1978,11,"257,000","183,977",71.6,"165,514",64.4,"18,463",10
4,Arizona,1978,11,"1,845,000","1,116,473",60.5,"1,051,380",57,"65,093",5.8
5,Arkansas,1978,11,"1,628,000","958,966",58.9,"897,506",55.1,"61,460",6.4
6,California,1978,11,"16,934,000","11,077,465",65.4,"10,336,820",61,"740,645",6.7
37,Los Angeles County,1978,11,"5,514,000","3,662,473",66.4,"3,437,421",62.3,"225,052",6.1
8,Colorado,1978,11,"2,023,000","1,382,262",68.3,"1,313,141",64.9,"69,121",5
9,Connecticut,1978,11,"2,323,000","1,533,681",66,"1,455,341",62.6,"78,340",5.1
10,Delaware,1978,11,"437,000","279,919",64.1,"260,259",59.6,"19,660",7
11,District of Columbia,1978,11,"507,000","333,107",65.7,"307,814",60.7,"25,293",7.6
12,Florida,1978,11,"7,079,000","4,054,637",57.3,"3,788,421",53.5,"266,216",6.6
13,Georgia,1978,11,"3,767,000","2,443,523",64.9,"2,303,225",61.1,"140,298",5.7
15,Hawaii,1978,11,"631,000","425,235",67.4,"396,958",62.9,"28,277",6.6
16,Idaho,1978,11,"638,000","419,609",65.8,"394,741",61.9,"24,868",5.9
17,Illinois,1978,11,"8,389,000","5,453,739",65,"5,145,509",61.3,"308,230",5.7
18,Indiana,1978,11,"3,949,000","2,618,833",66.3,"2,474,672",62.7,"144,161",5.5
19,Iowa,1978,11,"2,135,000","1,418,303",66.4,"1,362,554",63.8,"55,749",3.9
20,Kansas,1978,11,"1,706,000","1,148,161",67.3,"1,114,072",65.3,"34,089",3
21,Kentucky,1978,11,"2,597,000","1,586,000",61.1,"1,503,610",57.9,"82,390",5.2
22,Louisiana,1978,11,"2,861,000","1,676,644",58.6,"1,575,506",55.1,"101,138",6
23,Maine,1978,11,"811,000","492,722",60.8,"461,436",56.9,"31,286",6.3
24,Maryland,1978,11,"3,093,000","2,077,697",67.2,"1,960,442",63.4,"117,255",5.6
25,Massachusetts,1978,11,"4,313,000","2,834,206",65.7,"2,666,852",61.8,"167,354",5.9
26,Michigan,1978,11,"6,668,000","4,275,194",64.1,"3,970,239",59.5,"304,955",7.1
27,Minnesota,1978,11,"2,925,000","2,004,599",68.5,"1,927,517",65.9,"77,082",3.8
28,Mississippi,1978,11,"1,733,000","1,014,427",58.5,"950,452",54.8,"63,975",6.3
29,Missouri,1978,11,"3,597,000","2,279,504",63.4,"2,179,924",60.6,"99,580",4.4
30,Montana,1978,11,"568,000","367,026",64.6,"347,944",61.3,"19,082",5.2
31,Nebraska,1978,11,"1,131,000","753,783",66.6,"734,600",65,"19,183",2.5
32,Nevada,1978,11,"543,000","384,106",70.7,"366,695",67.5,"17,411",4.5
33,New Hampshire,1978,11,"656,000","443,629",67.6,"428,499",65.3,"15,130",3.4
34,New Jersey,1978,11,"5,520,000","3,520,871",63.8,"3,274,643",59.3,"246,228",7
35,New Mexico,1978,11,"877,000","539,748",61.5,"505,526",57.6,"34,222",6.3
36,New York,1978,11,"13,261,000","7,930,716",59.8,"7,349,665",55.4,"581,051",7.3
51000,New York city,1978,11,"5,545,000","3,065,284",55.3,"2,800,067",50.5,"265,217",8.7
37,North Carolina,1978,11,"4,144,000","2,785,667",67.2,"2,662,835",64.3,"122,832",4.4
38,North Dakota,1978,11,"461,000","297,591",64.6,"284,996",61.8,"12,595",4.2
39,Ohio,1978,11,"7,915,000","5,036,737",63.6,"4,757,606",60.1,"279,131",5.5
40,Oklahoma,1978,11,"2,131,000","1,279,646",60,"1,239,633",58.2,"40,013",3.1
41,Oregon,1978,11,"1,885,000","1,227,352",65.1,"1,143,669",60.7,"83,683",6.8
42,Pennsylvania,1978,11,"8,963,000","5,348,897",59.7,"4,980,436",55.6,"368,461",6.9
44,Rhode Island,1978,11,"717,000","454,397",63.4,"426,649",59.5,"27,748",6.1
45,South Carolina,1978,11,"2,138,000","1,365,634",63.9,"1,293,166",60.5,"72,468",5.3
46,South Dakota,1978,11,"491,000","325,513",66.3,"314,828",64.1,"10,685",3.3
47,Tennessee,1978,11,"3,281,000","1,999,069",60.9,"1,882,521",57.4,"116,548",5.8
48,Texas,1978,11,"9,655,000","6,330,086",65.6,"6,030,030",62.5,"300,056",4.7
49,Utah,1978,11,"909,000","582,959",64.1,"561,546",61.8,"21,413",3.7
50,Vermont,1978,11,"363,000","241,443",66.5,"228,429",62.9,"13,014",5.4
51,Virginia,1978,11,"3,784,000","2,510,379",66.3,"2,379,374",62.9,"131,005",5.2
53,Washington,1978,11,"2,866,000","1,851,800",64.6,"1,722,652",60.1,"129,148",7
54,West Virginia,1978,11,"1,419,000","745,709",52.6,"696,736",49.1,"48,973",6.6
55,Wisconsin,1978,11,"3,385,000","2,283,492",67.5,"2,170,410",64.1,"113,082",5
56,Wyoming,1978,11,"310,000","215,595",69.5,"209,517",67.6,"6,078",2.8
1,Alabama,1978,12,"2,767,000","1,644,203",59.4,"1,532,571",55.4,"111,632",6.8
2,Alaska,1978,12,"257,000","184,591",71.8,"166,480",64.8,"18,111",9.8
4,Arizona,1978,12,"1,853,000","1,126,093",60.8,"1,060,283",57.2,"65,810",5.8
5,Arkansas,1978,12,"1,631,000","961,823",59,"899,908",55.2,"61,915",6.4
6,California,1978,12,"16,970,000","11,112,366",65.5,"10,378,926",61.2,"733,440",6.6
37,Los Angeles County,1978,12,"5,519,000","3,670,324",66.5,"3,447,710",62.5,"222,614",6.1
8,Colorado,1978,12,"2,030,000","1,389,775",68.5,"1,320,821",65.1,"68,954",5
9,Connecticut,1978,12,"2,325,000","1,542,025",66.3,"1,463,021",62.9,"79,004",5.1
10,Delaware,1978,12,"437,000","280,424",64.2,"260,650",59.6,"19,774",7.1
11,District of Columbia,1978,12,"506,000","332,988",65.8,"307,625",60.8,"25,363",7.6
12,Florida,1978,12,"7,105,000","4,073,109",57.3,"3,807,073",53.6,"266,036",6.5
13,Georgia,1978,12,"3,776,000","2,449,252",64.9,"2,310,052",61.2,"139,200",5.7
15,Hawaii,1978,12,"633,000","425,456",67.2,"397,800",62.8,"27,656",6.5
16,Idaho,1978,12,"640,000","421,098",65.8,"395,803",61.8,"25,295",6
17,Illinois,1978,12,"8,393,000","5,453,350",65,"5,147,901",61.3,"305,449",5.6
18,Indiana,1978,12,"3,953,000","2,622,524",66.3,"2,477,199",62.7,"145,325",5.5
19,Iowa,1978,12,"2,136,000","1,415,293",66.3,"1,358,579",63.6,"56,714",4
20,Kansas,1978,12,"1,708,000","1,152,069",67.5,"1,117,506",65.4,"34,563",3
21,Kentucky,1978,12,"2,600,000","1,587,441",61.1,"1,504,131",57.9,"83,310",5.2
22,Louisiana,1978,12,"2,867,000","1,680,582",58.6,"1,580,786",55.1,"99,796",5.9
23,Maine,1978,12,"812,000","494,409",60.9,"462,638",57,"31,771",6.4
24,Maryland,1978,12,"3,096,000","2,083,844",67.3,"1,964,745",63.5,"119,099",5.7
25,Massachusetts,1978,12,"4,317,000","2,842,500",65.8,"2,675,324",62,"167,176",5.9
26,Michigan,1978,12,"6,675,000","4,289,876",64.3,"3,980,713",59.6,"309,163",7.2
27,Minnesota,1978,12,"2,929,000","2,010,420",68.6,"1,932,617",66,"77,803",3.9
28,Mississippi,1978,12,"1,735,000","1,014,852",58.5,"952,227",54.9,"62,625",6.2
29,Missouri,1978,12,"3,600,000","2,285,707",63.5,"2,187,706",60.8,"98,001",4.3
30,Montana,1978,12,"569,000","366,259",64.4,"347,264",61,"18,995",5.2
31,Nebraska,1978,12,"1,132,000","754,812",66.7,"735,630",65,"19,182",2.5
32,Nevada,1978,12,"546,000","386,633",70.8,"368,864",67.6,"17,769",4.6
33,New Hampshire,1978,12,"657,000","445,772",67.8,"430,851",65.6,"14,921",3.3
34,New Jersey,1978,12,"5,525,000","3,531,816",63.9,"3,285,100",59.5,"246,716",7
35,New Mexico,1978,12,"880,000","541,509",61.5,"506,585",57.6,"34,924",6.4
36,New York,1978,12,"13,263,000","7,950,015",59.9,"7,374,569",55.6,"575,446",7.2
51000,New York city,1978,12,"5,542,000","3,066,958",55.3,"2,802,704",50.6,"264,254",8.6
37,North Carolina,1978,12,"4,151,000","2,790,078",67.2,"2,665,419",64.2,"124,659",4.5
38,North Dakota,1978,12,"461,000","298,426",64.7,"285,705",62,"12,721",4.3
39,Ohio,1978,12,"7,920,000","5,054,477",63.8,"4,770,571",60.2,"283,906",5.6
40,Oklahoma,1978,12,"2,135,000","1,284,900",60.2,"1,244,070",58.3,"40,830",3.2
41,Oregon,1978,12,"1,890,000","1,229,186",65,"1,143,594",60.5,"85,592",7
42,Pennsylvania,1978,12,"8,968,000","5,356,250",59.7,"4,987,040",55.6,"369,210",6.9
44,Rhode Island,1978,12,"717,000","456,287",63.6,"428,284",59.7,"28,003",6.1
45,South Carolina,1978,12,"2,142,000","1,367,851",63.9,"1,296,173",60.5,"71,678",5.2
46,South Dakota,1978,12,"491,000","326,127",66.4,"315,326",64.2,"10,801",3.3
47,Tennessee,1978,12,"3,288,000","2,004,599",61,"1,889,597",57.5,"115,002",5.7
48,Texas,1978,12,"9,684,000","6,355,857",65.6,"6,061,189",62.6,"294,668",4.6
49,Utah,1978,12,"911,000","586,692",64.4,"564,936",62,"21,756",3.7
50,Vermont,1978,12,"364,000","242,387",66.6,"229,339",63,"13,048",5.4
51,Virginia,1978,12,"3,790,000","2,515,672",66.4,"2,385,142",62.9,"130,530",5.2
53,Washington,1978,12,"2,875,000","1,861,871",64.8,"1,731,290",60.2,"130,581",7
54,West Virginia,1978,12,"1,421,000","746,963",52.6,"697,652",49.1,"49,311",6.6
55,Wisconsin,1978,12,"3,390,000","2,287,887",67.5,"2,176,295",64.2,"111,592",4.9
56,Wyoming,1978,12,"311,000","216,643",69.7,"210,851",67.8,"5,792",2.7
1,Alabama,1979,1,"2,771,000","1,647,083",59.4,"1,533,846",55.4,"113,237",6.9
2,Alaska,1979,1,"257,000","184,941",72,"167,216",65.1,"17,725",9.6
4,Arizona,1979,1,"1,862,000","1,133,847",60.9,"1,068,338",57.4,"65,509",5.8
5,Arkansas,1979,1,"1,633,000","964,489",59.1,"902,443",55.3,"62,046",6.4
6,California,1979,1,"17,006,000","11,141,282",65.5,"10,414,825",61.2,"726,457",6.5
37,Los Angeles County,1979,1,"5,524,000","3,671,974",66.5,"3,452,218",62.5,"219,756",6
8,Colorado,1979,1,"2,036,000","1,396,518",68.6,"1,327,993",65.2,"68,525",4.9
9,Connecticut,1979,1,"2,327,000","1,549,162",66.6,"1,469,502",63.2,"79,660",5.1
10,Delaware,1979,1,"437,000","280,867",64.3,"260,932",59.7,"19,935",7.1
11,District of Columbia,1979,1,"506,000","332,526",65.7,"307,178",60.7,"25,348",7.6
12,Florida,1979,1,"7,132,000","4,088,847",57.3,"3,823,949",53.6,"264,898",6.5
13,Georgia,1979,1,"3,784,000","2,453,372",64.8,"2,315,782",61.2,"137,590",5.6
15,Hawaii,1979,1,"635,000","425,620",67,"398,440",62.7,"27,180",6.4
16,Idaho,1979,1,"641,000","422,826",66,"397,235",62,"25,591",6.1
17,Illinois,1979,1,"8,397,000","5,447,651",64.9,"5,144,664",61.3,"302,987",5.6
18,Indiana,1979,1,"3,957,000","2,625,227",66.3,"2,478,875",62.6,"146,352",5.6
19,Iowa,1979,1,"2,137,000","1,413,363",66.1,"1,356,092",63.5,"57,271",4.1
20,Kansas,1979,1,"1,710,000","1,154,742",67.5,"1,119,945",65.5,"34,797",3
21,Kentucky,1979,1,"2,603,000","1,588,841",61,"1,504,576",57.8,"84,265",5.3
22,Louisiana,1979,1,"2,873,000","1,685,080",58.7,"1,585,594",55.2,"99,486",5.9
23,Maine,1979,1,"813,000","495,881",61,"463,522",57,"32,359",6.5
24,Maryland,1979,1,"3,099,000","2,089,179",67.4,"1,968,448",63.5,"120,731",5.8
25,Massachusetts,1979,1,"4,320,000","2,849,651",66,"2,682,911",62.1,"166,740",5.9
26,Michigan,1979,1,"6,682,000","4,300,331",64.4,"3,986,924",59.7,"313,407",7.3
27,Minnesota,1979,1,"2,933,000","2,014,878",68.7,"1,935,977",66,"78,901",3.9
28,Mississippi,1979,1,"1,737,000","1,015,088",58.4,"953,866",54.9,"61,222",6
29,Missouri,1979,1,"3,603,000","2,290,830",63.6,"2,193,347",60.9,"97,483",4.3
30,Montana,1979,1,"569,000","365,651",64.3,"346,668",60.9,"18,983",5.2
31,Nebraska,1979,1,"1,133,000","755,516",66.7,"736,146",65,"19,370",2.6
32,Nevada,1979,1,"550,000","389,030",70.7,"370,904",67.4,"18,126",4.7
33,New Hampshire,1979,1,"659,000","447,662",67.9,"432,940",65.7,"14,722",3.3
34,New Jersey,1979,1,"5,530,000","3,539,795",64,"3,292,804",59.5,"246,991",7
35,New Mexico,1979,1,"882,000","543,064",61.6,"507,529",57.5,"35,535",6.5
36,New York,1979,1,"13,266,000","7,962,186",60,"7,392,215",55.7,"569,971",7.2
51000,New York city,1979,1,"5,539,000","3,066,675",55.4,"2,803,072",50.6,"263,603",8.6
37,North Carolina,1979,1,"4,158,000","2,793,605",67.2,"2,666,489",64.1,"127,116",4.6
38,North Dakota,1979,1,"461,000","299,146",64.9,"286,294",62.1,"12,852",4.3
39,Ohio,1979,1,"7,924,000","5,065,499",63.9,"4,777,655",60.3,"287,844",5.7
40,Oklahoma,1979,1,"2,139,000","1,289,239",60.3,"1,248,010",58.3,"41,229",3.2
41,Oregon,1979,1,"1,895,000","1,230,590",64.9,"1,144,035",60.4,"86,555",7
42,Pennsylvania,1979,1,"8,974,000","5,360,067",59.7,"4,990,510",55.6,"369,557",6.9
44,Rhode Island,1979,1,"717,000","458,015",63.9,"429,713",59.9,"28,302",6.2
45,South Carolina,1979,1,"2,146,000","1,370,229",63.9,"1,298,965",60.5,"71,264",5.2
46,South Dakota,1979,1,"492,000","326,586",66.4,"315,586",64.1,"11,000",3.4
47,Tennessee,1979,1,"3,294,000","2,009,545",61,"1,895,659",57.5,"113,886",5.7
48,Texas,1979,1,"9,712,000","6,378,780",65.7,"6,089,864",62.7,"288,916",4.5
49,Utah,1979,1,"914,000","590,014",64.6,"567,907",62.1,"22,107",3.7
50,Vermont,1979,1,"365,000","243,098",66.6,"230,075",63,"13,023",5.4
51,Virginia,1979,1,"3,795,000","2,519,362",66.4,"2,390,195",63,"129,167",5.1
53,Washington,1979,1,"2,885,000","1,872,124",64.9,"1,740,524",60.3,"131,600",7
54,West Virginia,1979,1,"1,422,000","747,675",52.6,"698,024",49.1,"49,651",6.6
55,Wisconsin,1979,1,"3,394,000","2,290,872",67.5,"2,181,857",64.3,"109,015",4.8
56,Wyoming,1979,1,"313,000","217,541",69.5,"212,059",67.8,"5,482",2.5
1,Alabama,1979,2,"2,775,000","1,649,483",59.4,"1,534,802",55.3,"114,681",7
2,Alaska,1979,2,"257,000","184,966",72,"167,620",65.2,"17,346",9.4
4,Arizona,1979,2,"1,871,000","1,138,850",60.9,"1,074,943",57.5,"63,907",5.6
5,Arkansas,1979,2,"1,636,000","966,878",59.1,"905,064",55.3,"61,814",6.4
6,California,1979,2,"17,042,000","11,162,945",65.5,"10,445,021",61.3,"717,924",6.4
37,Los Angeles County,1979,2,"5,530,000","3,668,237",66.3,"3,452,484",62.4,"215,753",5.9
8,Colorado,1979,2,"2,043,000","1,402,575",68.7,"1,335,042",65.3,"67,533",4.8
9,Connecticut,1979,2,"2,329,000","1,553,902",66.7,"1,473,871",63.3,"80,031",5.2
10,Delaware,1979,2,"438,000","281,095",64.2,"261,060",59.6,"20,035",7.1
11,District of Columbia,1979,2,"505,000","331,720",65.7,"306,620",60.7,"25,100",7.6
12,Florida,1979,2,"7,158,000","4,100,456",57.3,"3,838,339",53.6,"262,117",6.4
13,Georgia,1979,2,"3,792,000","2,455,570",64.8,"2,320,387",61.2,"135,183",5.5
15,Hawaii,1979,2,"636,000","425,792",66.9,"398,971",62.7,"26,821",6.3
16,Idaho,1979,2,"642,000","424,566",66.1,"398,928",62.1,"25,638",6
17,Illinois,1979,2,"8,402,000","5,439,016",64.7,"5,138,643",61.2,"300,373",5.5
18,Indiana,1979,2,"3,961,000","2,626,298",66.3,"2,479,206",62.6,"147,092",5.6
19,Iowa,1979,2,"2,138,000","1,412,725",66.1,"1,355,331",63.4,"57,394",4.1
20,Kansas,1979,2,"1,711,000","1,155,966",67.6,"1,121,160",65.5,"34,806",3
21,Kentucky,1979,2,"2,606,000","1,590,539",61,"1,505,558",57.8,"84,981",5.3
22,Louisiana,1979,2,"2,878,000","1,690,010",58.7,"1,589,607",55.2,"100,403",5.9
23,Maine,1979,2,"814,000","496,844",61,"463,935",57,"32,909",6.6
24,Maryland,1979,2,"3,102,000","2,093,464",67.5,"1,971,931",63.6,"121,533",5.8
25,Massachusetts,1979,2,"4,324,000","2,854,573",66,"2,689,061",62.2,"165,512",5.8
26,Michigan,1979,2,"6,689,000","4,305,383",64.4,"3,989,405",59.6,"315,978",7.3
27,Minnesota,1979,2,"2,938,000","2,018,401",68.7,"1,938,245",66,"80,156",4
28,Mississippi,1979,2,"1,739,000","1,015,371",58.4,"955,643",55,"59,728",5.9
29,Missouri,1979,2,"3,606,000","2,294,033",63.6,"2,196,383",60.9,"97,650",4.3
30,Montana,1979,2,"570,000","365,527",64.1,"346,506",60.8,"19,021",5.2
31,Nebraska,1979,2,"1,134,000","755,907",66.7,"736,250",64.9,"19,657",2.6
32,Nevada,1979,2,"553,000","391,350",70.8,"372,844",67.4,"18,506",4.7
33,New Hampshire,1979,2,"661,000","449,052",67.9,"434,615",65.8,"14,437",3.2
34,New Jersey,1979,2,"5,535,000","3,544,392",64,"3,298,164",59.6,"246,228",6.9
